type,code,name,info,type2,flag,pos,uk1,weapontype,uk2,sex,school,attack,skill,uk3,uk4,beitemslot
110001,blade_A0001,スティンガー,カッター型のブレード,2,4,8,2,1,0,0,0,102,20001,0,1,522222
119001,blade_A0001,限界突破スティンガー,幻の改造スティンガー。潜在能力を無理に引き出している為、4年生以上でないと扱えない。,2,4,8,2,1,0,0,0,102,20001,0,1,522222
119009,blade_A0001,スティンガー,カッター型のブレード,2,4,8,2,1,0,0,0,102,20001,0,1,522222
110002,blade_A0002,バロソード,長さを測るのに便利な機能を持つブレード,2,4,8,2,1,0,0,0,104,20002,0,1,522222
912001,blade_A0003,めがとんはんまー,スロット1,2,4,8,2,1,1,0,0,101,20004,10,1,10005
912002,blade_A0003,めがとんはんまー,スロット2,2,4,8,2,1,2,0,0,101,20004,20,2,10005
912003,blade_A0003,めがとんはんまー,スロット3,2,4,8,2,1,3,0,0,101,20004,30,3,10005
912004,blade_A0003,めがとんはんまー,スロット4,2,4,8,2,1,4,0,0,101,20004,40,4,10005
912005,blade_A0003,めがとんはんまー,スロット5,2,4,8,2,1,5,0,0,101,20004,50,5,10005
110003,blade_A0003,めがとんはんまー,やや小型だが威力充分のハンマー。インパクトの瞬間に質量が打点に集中する構造のため、片手で扱える重さだが大きなダメージを与えられる,2,4,8,2,1,0,0,0,101,20004,0,1,522222
119006,blade_A0003,イベントめがとんはんまー,やや小型だが威力充分のハンマー。インパクトの瞬間に質量が打点に集中する構造のため、片手で扱える重さだが大きなダメージを与えられる,2,5,8,2,1,0,0,0,101,20004,0,1,522222
110004,blade_A0004,レイピア＝ヴァイン,長く尖った剣身を持つブレード。剣身とガード部分にツタが巻き付いている,2,4,8,2,1,0,0,0,104,20006,0,1,522222
110005,blade_A0005,リングダガー,こぶし大のリングが剣頭に付いているためリングダガーと呼ばれるようになった。リングのため隠しにくく、短剣としてはあまり役に立たない,2,4,8,2,1,0,0,0,0,0,0,1,522222
110006,blade_A0006,木刀,不良モードの必需品。釘バットとともに二大不良武器と呼ばれる。実用性よりも、見た目の怖さが効果的,2,4,8,2,1,0,0,0,104,20008,0,1,522222
110007,blade_A0007,釘バット,木刀とともに二大不良武器で、不良モードの必需品。凶悪な形をしていて、使う方もたまに怖くなることがある,2,4,8,2,1,0,0,0,101,20009,0,1,522222
